symbol,entry_time,exit_time,entry_price,exit_price,quantity,notional_value,pnl_dollar,pnl_pct,holding_period_hours,entry_cost,exit_cost,total_cost
MANAUSDT,2022-01-27T00:00:00.000000,2022-02-10T00:00:00.000000,2.2503,3.1354,20723.389436078698,59317.66680695614,5621.16029631156,9.476367832546593,336.0,17.79530004208684,19.492834571364344,37.288134613451184
AVAXUSDT,2022-01-28T00:00:00.000000,2022-02-11T00:00:00.000000,66.93,81.71,791.6792401948594,58937.271248063524,5713.751853669118,9.69463250108793,336.0,17.681181374419054,19.406433214896584,37.087614589315635
AXSUSDT,2022-02-06T00:00:00.000000,2022-02-12T00:00:00.000000,68.18,59.12,1141.429182127739,77822.64163746926,-10384.939570542785,-13.344367849809341,144.0,23.346792491240777,20.244387974217577,43.59118046545835
TLMUSDT,2022-02-08T00:00:00.000000,2022-02-12T00:00:00.000000,0.1373,0.1282,418583.76700638776,71856.28053065928,-18231.49721627863,-25.372169393738247,96.0,21.556884159197782,16.098731679065672,37.65561583826346
GALAUSDT,2022-02-05T00:00:00.000000,2022-02-13T00:00:00.000000,0.29228,0.28045,226574.29372481507,66223.13456988895,-2719.303663338073,-4.106274462843858,192.0,19.866940370966685,19.06282820253731,38.92976857350399
AVAXUSDT,2022-01-28T00:00:00.000000,2022-02-13T00:00:00.000000,66.93,77.87,745.0652242537033,58937.271248063524,-954.1288855058551,-1.618888803809702,384.0,17.681181374419054,17.405468703790763,35.086650078209814
DYDXUSDT,2022-01-15T00:00:00.000000,2022-02-13T00:00:00.000000,7.851,6.99,10694.330306097192,95366.06453186789,-20663.731522259957,-21.667803556426392,696.0,28.609819359560365,22.42601065188581,51.03583001144618
1000SHIBUSDT,2022-02-06T00:00:00.000000,2022-02-14T00:00:00.000000,0.028479,0.029561,2732632.5235250276,77822.64163746926,2909.12779295446,3.7381509182204407,192.0,23.346792491240777,24.233805008377,47.58059749961778
ARPAUSDT,2022-02-13T00:00:00.000000,2022-02-14T00:00:00.000000,0.08652,0.08667,755968.3226219282,65406.37927324923,74.11740225481326,0.11331830790567363,24.0,19.62191378197477,19.65593235649275,39.277846138467524
BTCUSDT,2022-01-21T00:00:00.000000,2022-02-15T00:00:00.000000,36425.98,44529.6,1.7189404793359304,68362.52290499734,8137.737187177818,11.903798808722643,600.0,20.5087568714992,22.963119590591173,43.47187646209038
IOTXUSDT,2022-02-09T00:00:00.000000,2022-02-15T00:00:00.000000,0.10889,0.0983,654122.3366730782,71227.3812403315,-6967.813827448492,-9.78249334190468,144.0,21.368214372099448,19.290067708489076,40.65828208058852
XRPUSDT,2022-01-22T00:00:00.000000,2022-02-15T00:00:00.000000,0.5962,0.8512,89545.77916129079,57872.58992923864,18308.549105706683,31.635959489790793,576.0,17.36177697877159,22.86641016662721,40.228187145398806
BTCBUSD,2022-01-21T00:00:00.000000,2022-02-15T00:00:00.000000,36441.6,44557.9,1.5547035719812032,68362.52290499734,870.5123302254186,1.2733765420494503,600.0,20.5087568714992,20.782297886994375,41.29105475849357
ETHUSDT,2022-02-04T00:00:00.000000,2022-02-16T00:00:00.000000,2993.65,3121.8,22.471273158424435,67271.1268907173,2848.275588395885,4.23402389709175,288.0,20.18133806721519,21.048189602034732,41.22952766924992
ETCUSDT,2022-01-18T00:00:00.000000,2022-02-16T00:00:00.000000,32.634,32.209,1911.533486656014,87925.29521929049,-26401.561310774232,-30.02726490133163,696.0,26.377588565787146,18.470574621511066,44.84816318729821
BCHUSDT,2022-02-13T00:00:00.000000,2022-02-16T00:00:00.000000,333.51,334.23,196.11519676546197,65406.37927324922,101.91675322468664,0.1558208149680744,72.0,19.621913781974765,19.664274664476107,39.28618844645087
BTCUSDT,2022-01-21T00:00:00.000000,2022-02-17T00:00:00.000000,36425.98,40491.7,1.1236240546058744,68362.52290499734,-22899.232764423727,-33.49676371108559,648.0,20.5087568714992,13.649234439565403,34.157991311064606
ARPAUSDT,2022-02-13T00:00:00.000000,2022-02-17T00:00:00.000000,0.08652,0.08244,755968.3226219282,65406.37927324923,-1880.5679460260528,-2.875205701525803,96.0,19.62191378197477,19.069350777534805,38.69126455950958
BTCBUSD,2022-01-21T00:00:00.000000,2022-02-17T00:00:00.000000,36441.6,40520.4,1.1230888931089995,68362.52290499734,-22888.672880890237,-33.48131682135017,648.0,20.5087568714992,13.65240335530017,34.16116022679937
THETAUSDT,2022-01-19T00:00:00.000000,2022-02-17T00:00:00.000000,4.334,3.441,16145.373870246387,84409.10405975471,-28894.86217290108,-34.23192615863556,696.0,25.32273121792641,16.666869446255344,41.98960066418175
EGLDUSDT,2022-02-11T00:00:00.000000,2022-02-18T00:00:00.000000,194.52,163.8,332.2505354326503,64629.37415235914,-10242.45205204789,-15.847982726711916,168.0,19.38881224570774,16.326791311160434,35.715603556868174
BNBUSDT,2022-01-24T00:00:00.000000,2022-02-18T00:00:00.000000,370.93,398.89,165.56557047550666,70906.26178021423,-4904.89598689554,-6.917436998863488,600.0,21.271878534064268,19.812735122092455,41.08461365615672
