symbol,entry_time,exit_time,entry_price,exit_price,quantity,notional_value,pnl_dollar,pnl_pct,holding_period_hours,entry_cost,exit_cost,total_cost
UNFIUSDT,2022-06-14T00:00:00.000000,2023-09-24T00:00:00.000000,7.02,7.761,42620.295784852744,499999.99999999994,-169473.11724843364,-33.89462344968673,11208.0,149.99999999999997,99.23283467587264,249.2328346758726
BLZUSDT,2023-09-12T00:00:00.000000,2023-09-24T00:00:00.000000,0.13295,0.17685,1863446.6308884912,1000000.0,-670848.3284883721,-67.08483284883722,288.0,300.0,98.86516100178889,398.8651610017889
BTCUSDT,2023-09-30T00:00:00.000000,2023-10-01T00:00:00.000000,26922.8,27100.1,37.14323918760307,1000000.0,5983.520659069603,0.5983520659069603,24.0,300.0,301.97564889238856,601.9756488923886
MKRUSDT,2023-10-21T00:00:00.000000,2023-10-22T00:00:00.000000,1438.6,1421.1,695.1202558042542,1000000.0,-12760.955095231488,-1.2760955095231488,24.0,300.0,296.3506186570276,596.3506186570276
OPUSDT,2023-05-05T00:00:00.000000,2023-10-25T00:00:00.000000,1.9795,1.3738,505178.0752715332,1000000.0,-32170.957281827235,-3.2170957281827235,4152.0,300.0,290.5258705766248,590.5258705766248
1000PEPEUSDT,2023-06-11T00:00:00.000000,2023-10-28T00:00:00.000000,0.0009102,0.0011961,814067079.1273202,1000000.0,-26886.478345815507,-2.6886478345815505,3336.0,300.0,292.1116900032563,592.1116900032563
ETCUSDT,2022-02-16T00:00:00.000000,2023-10-29T00:00:00.000000,31.901,16.099,15673.48985925206,500000.0,-5766.197702279342,-1.1532395404558682,14880.0,150.0,148.35964858389136,298.3596485838914
CRVUSDT,2022-10-02T00:00:00.000000,2023-10-29T00:00:00.000000,0.889,0.495,1059322.0338983051,1000000.0,-476092.9025423728,-47.60929025423728,9408.0,300.0,157.3093220338983,457.3093220338983
LTCUSDT,2023-02-28T00:00:00.000000,2023-11-05T00:00:00.000000,93.82,71.41,10658.708164570455,1000000.0,31028.76336318985,3.102876336318985,6000.0,300.0,309.4914764518925,609.4914764518925
CRVUSDT,2022-10-02T00:00:00.000000,2023-11-11T00:00:00.000000,0.889,0.633,1124859.392575928,1000000.0,111844.28822495614,11.184428822495613,9720.0,300.0,333.74340949033393,633.743409490334
TRBUSDT,2022-12-30T00:00:00.000000,2023-11-12T00:00:00.000000,12.24,87.197,5667.135149839054,1000000.0,-506291.06349458214,-50.62910634945821,7608.0,300.0,148.2471550981548,448.2471550981548
OPUSDT,2023-05-05T00:00:00.000000,2023-11-12T00:00:00.000000,1.9795,1.7894,287869.19223904656,1000000.0,-485341.4013472278,-48.53414013472278,4584.0,300.0,154.53393977776497,454.533939777765
APTUSDT,2023-09-01T00:00:00.000000,2023-11-16T00:00:00.000000,5.515,7.292,129483.36138806163,1000000.0,-56390.58655962717,-5.639058655962717,1824.0,300.0,283.2578013725236,583.2578013725235
GASUSDT,2023-11-23T00:00:00.000000,2023-11-24T00:00:00.000000,8.195,9.188,122025.62538133007,1000000.0,120535.09456985969,12.053509456985969,24.0,300.0,336.3514338010982,636.3514338010982
MATICUSDT,2022-02-18T00:00:00.000000,2023-11-30T00:00:00.000000,1.6934,0.7588,590527.9319711822,1000000.0,-2703.5244608099224,-0.27035244608099224,15600.0,300.0,299.36875328774335,599.3687532877434
WLDUSDT,2023-11-30T00:00:00.000000,2023-12-01T00:00:00.000000,2.3937,2.4618,417763.29531687347,1000000.0,27841.145506955876,2.7841145506955876,24.0,300.0,308.5349041233237,608.5349041233237
FETUSDT,2023-12-21T00:00:00.000000,2023-12-22T00:00:00.000000,0.7053,0.7236,1417836.3816815538,999999.9999999999,25338.621863037046,2.533862186303705,24.0,299.99999999999994,307.7839217354317,607.7839217354317
BLURUSDT,2023-12-22T00:00:00.000000,2023-12-23T00:00:00.000000,0.5162,0.5219,1937233.6303758232,999999.9999999999,10438.919023634384,1.0438919023634385,24.0,299.99999999999994,303.31266950794264,603.3126695079426
